time,WMA_daily_5_close,Company
2022-04-13,164.7647,ABNB
2022-04-12,161.714,ABNB
2022-04-11,163.3167,ABNB
2022-04-08,165.9907,ABNB
2022-04-07,168.5953,ABNB
2022-04-06,170.4733,ABNB
2022-04-05,173.366,ABNB
2022-04-04,174.3627,ABNB
2022-04-01,172.798,ABNB
2022-03-31,172.16,ABNB
2022-03-30,171.8967,ABNB
2022-03-29,170.3787,ABNB
2022-03-28,167.6253,ABNB
2022-03-25,167.1053,ABNB
2022-03-24,166.714,ABNB
2022-03-23,164.234,ABNB
2022-03-22,163.4167,ABNB
2022-03-21,160.34,ABNB
2022-03-18,157.2567,ABNB
2022-03-17,150.9827,ABNB
2022-03-16,147.4753,ABNB
2022-03-15,144.072,ABNB
2022-03-14,144.4807,ABNB
2022-03-11,146.2453,ABNB
2022-03-10,145.634,ABNB
2022-03-09,142.7953,ABNB
2022-03-08,141.7347,ABNB
2022-03-07,143.326,ABNB
2022-03-04,149.7573,ABNB
2022-03-03,153.3113,ABNB
2022-03-02,154.3067,ABNB
2022-03-01,152.856,ABNB
2022-02-28,154.5273,ABNB
2022-02-25,157.5993,ABNB
2022-02-24,161.372,ABNB
2022-02-23,165.98,ABNB
2022-02-22,175.33,ABNB
2022-02-18,179.908,ABNB
2022-02-17,180.708,ABNB
2022-02-16,177.8313,ABNB
2022-02-15,172.8007,ABNB
2022-02-14,168.7727,ABNB
2022-02-11,167.4313,ABNB
2022-02-10,166.402,ABNB
2022-02-09,162.074,ABNB
2022-02-08,157.368,ABNB
2022-02-07,154.7307,ABNB
2022-02-04,153.2807,ABNB
2022-02-03,151.7613,ABNB
2022-02-02,151.4947,ABNB
2022-02-01,149.8567,ABNB
2022-01-31,145.6667,ABNB
2022-01-28,142.062,ABNB
2022-01-27,143.1213,ABNB
2022-01-26,146.94,ABNB
2022-01-25,150.3447,ABNB
2022-01-24,153.618,ABNB
2022-01-21,156.8507,ABNB
2022-01-20,157.758,ABNB
2022-01-19,159.0113,ABNB
2022-01-18,162.34,ABNB
2022-01-14,166.0333,ABNB
2022-01-13,166.764,ABNB
2022-01-12,166.408,ABNB
2022-01-11,164.386,ABNB
2022-01-10,162.82,ABNB
2022-01-07,164.6853,ABNB
2022-01-06,164.8,ABNB
2022-01-05,167.6167,ABNB
2022-01-04,169.946,ABNB
2022-01-03,169.3527,ABNB
2021-12-31,168.066,ABNB
2021-12-30,169.164,ABNB
2021-12-29,169.5327,ABNB
2021-12-28,170.2293,ABNB
2021-12-27,169.3373,ABNB
2021-12-23,166.8707,ABNB
2021-12-22,163.532,ABNB
2021-12-21,160.79,ABNB
2021-12-20,159.4113,ABNB
2021-12-17,161.7633,ABNB
2021-12-16,165.3893,ABNB
2021-12-15,171.1973,ABNB
2021-12-14,174.3087,ABNB
2021-12-13,178.492,ABNB
2021-12-10,182.3027,ABNB
2021-12-09,182.0753,ABNB
2021-12-08,180.7107,ABNB
2021-12-07,176.1087,ABNB
2021-12-06,171.9167,ABNB
2021-12-03,168.4367,ABNB
2021-12-02,170.1307,ABNB
2021-12-01,171.5607,ABNB
2021-11-30,176.1767,ABNB
2021-11-29,178.252,ABNB
2021-11-26,178.9033,ABNB
2021-11-24,183.6593,ABNB
2021-11-23,187.6867,ABNB
2021-11-22,194.172,ABNB
2021-11-19,201.2027,ABNB
2021-11-18,204.0113,ABNB
2021-11-17,203.3353,ABNB
2021-11-16,203.94,ABNB
2021-11-15,201.0773,ABNB
2021-11-12,197.6987,ABNB
2021-11-11,194.2153,ABNB
2021-11-10,194.8313,ABNB
2021-11-09,193.954,ABNB
2021-11-08,190.8027,ABNB
