time,WMA_daily_5_close,Company,WMA_daily_10_close,"FAMA_MAMA_daily_close_(0.1, 0.1)","MAMA_daily_close_(0.1, 0.1)","FAMA_MAMA_daily_close_(0.25, 0.25)","MAMA_daily_close_(0.25, 0.25)"
2009-02-26,17.7735,ABT,17.9913,18.0111,18.1941,18.3531,17.9425
2009-02-27,17.108,ABT,17.5837,18.0089,17.9674,18.2388,17.4386
2009-03-02,16.559,ABT,17.2116,17.9961,17.7533,18.0884,17.0354
2009-03-03,16.0157,ABT,16.8131,17.9723,17.5195,17.9061,16.6305
2009-03-04,15.8251,ABT,16.5474,17.9414,17.3549,17.723,16.4411
2009-03-05,15.651,ABT,16.255,17.9028,17.1683,17.533,16.2032
2009-03-06,15.6741,ABT,16.066,17.8591,17.0291,17.3534,16.0963
2009-03-09,15.6804,ABT,15.9061,17.8109,16.8956,17.1838,15.9959
2009-03-10,15.7325,ABT,15.8076,17.7597,16.7866,17.0293,15.9484
2009-03-11,15.477,ABT,15.603,17.7019,16.6041,16.8634,15.7016
2009-03-12,15.5268,ABT,15.5878,17.6425,16.5132,16.7179,15.6999
2009-03-13,15.5853,ABT,15.6088,17.5823,16.4381,16.5926,15.7155
2009-03-16,15.7569,ABT,15.694,17.5234,16.4041,16.495,15.8112
2009-03-17,16.0462,ABT,15.8532,17.468,16.417,16.432,15.9915
2009-03-18,16.2299,ABT,15.9609,17.4152,16.4114,16.3885,16.0839
2009-03-19,16.197,ABT,15.9924,17.3629,16.3693,16.3475,16.0606
2009-03-20,16.1454,ABT,16.0154,17.3113,16.3318,16.3096,16.044
2009-03-23,16.2151,ABT,16.109,17.2627,16.3391,16.2877,16.1342
2009-03-24,16.0065,ABT,16.0491,17.213,16.2683,16.2527,16.0084
2009-03-25,15.8098,ABT,15.966,17.1619,16.1901,16.2059,15.8778
2009-03-26,15.7186,ABT,15.8991,17.1105,16.1338,16.157,15.8152
2009-03-27,15.6683,ABT,15.8426,17.0593,16.0882,16.11,15.7809
2009-03-30,15.7838,ABT,15.8665,17.0109,16.0906,16.0792,15.8637
2009-03-31,15.8975,ABT,15.8785,16.9647,16.0863,16.0581,15.9098
2009-04-01,15.8713,ABT,15.8382,16.9189,16.0489,16.0333,15.8602
2009-04-02,15.682,ABT,15.729,16.8715,15.9707,15.9932,15.712
2009-04-03,15.3754,ABT,15.5558,16.8208,15.858,15.9309,15.4949
2009-04-06,15.0392,ABT,15.3571,16.7663,15.731,15.848,15.2682
2009-04-07,14.7552,ABT,15.1644,16.7081,15.6019,15.7497,15.0611
2009-04-08,14.6626,ABT,15.0393,16.6482,15.5109,15.6521,14.9689
2009-04-09,14.6783,ABT,14.9507,16.5879,15.4412,15.5618,14.93
2009-04-13,14.8084,ABT,14.9228,16.5287,15.4036,15.4871,14.9639
2009-04-14,14.961,ABT,14.9263,16.4713,15.381,15.4284,15.0173
2009-04-15,14.8423,ABT,14.8203,16.4123,15.2911,15.3602,14.8834
2009-04-16,14.7243,ABT,14.7446,16.3522,15.2112,15.2884,14.7856
2009-04-17,14.7554,ABT,14.7652,16.2936,15.18,15.2291,14.814
2009-04-20,14.8033,ABT,14.8048,16.2369,15.1587,15.182,14.8523
2009-04-21,14.8896,ABT,14.8595,16.1825,15.1491,15.1474,14.9048
2009-04-22,14.7719,ABT,14.7901,16.1272,15.0769,15.1021,14.7855
2009-04-23,14.7551,ABT,14.774,16.0729,15.0411,15.0605,14.7689
2009-04-24,14.6927,ABT,14.7407,16.0192,14.9998,15.0196,14.7336
2009-04-27,14.6562,ABT,14.7152,15.9665,14.965,14.9813,14.7131
2009-04-28,14.6239,ABT,14.6879,15.9146,14.9285,14.9443,14.685
2009-04-29,14.5782,ABT,14.647,15.863,14.8825,14.9051,14.6308
2009-04-30,14.4426,ABT,14.5589,15.8106,14.8149,14.8575,14.5248
2009-05-01,14.3039,ABT,14.4556,15.7572,14.7429,14.8025,14.4173
2009-05-04,14.3885,ABT,14.4694,15.7061,14.7344,14.7619,14.4775
2009-05-05,14.5349,ABT,14.5227,15.6581,14.7455,14.7378,14.5694
2009-05-06,14.5745,ABT,14.5306,15.6116,14.7283,14.7169,14.5704
2009-05-07,14.7984,ABT,14.6401,15.5695,14.7702,14.7166,14.7146
2009-05-08,14.9946,ABT,14.761,15.5319,14.8184,14.7332,14.849
2009-05-11,15.1068,ABT,14.8669,15.4983,14.8598,14.7596,14.9448
2009-05-12,15.2419,ABT,14.9955,15.4692,14.9153,14.7975,15.0624
2009-05-13,15.3492,ABT,15.1149,15.4441,14.9684,14.8426,15.1583
2009-05-14,15.2999,ABT,15.1628,15.4213,14.9866,14.8818,15.1563
2009-05-15,15.1021,ABT,15.1127,15.3981,14.9585,14.902,15.0437
2009-05-18,14.9271,ABT,15.044,15.3747,14.9292,14.9079,14.949
2009-05-19,14.7538,ABT,14.9555,15.3505,14.8919,14.9008,14.8509
2009-05-20,14.6603,ABT,14.8846,15.3263,14.8651,14.8875,14.7943
2009-05-21,14.6488,ABT,14.8276,15.3024,14.8492,14.873,14.7721
2009-05-22,14.737,ABT,14.8168,15.2801,14.8559,14.8649,14.8082
2009-05-26,14.8826,ABT,14.8511,15.2603,14.8833,14.8679,14.8887
2009-05-27,14.9767,ABT,14.8761,15.2423,14.9019,14.8761,14.9338
2009-05-28,15.0604,ABT,14.9204,15.2265,14.9257,14.8898,14.9854
2009-05-29,15.1618,ABT,14.9986,15.2133,14.9628,14.9115,15.0632
2009-06-01,15.2148,ABT,15.0692,15.2023,14.9935,14.9369,15.1147
2009-06-02,15.2634,ABT,15.14,15.1936,15.0268,14.9657,15.1678
2009-06-03,15.2956,ABT,15.197,15.1867,15.0558,14.9956,15.2051
2009-06-04,15.2693,ABT,15.2173,15.1808,15.0694,15.0214,15.2016
2009-06-05,15.2657,ABT,15.2415,15.1762,15.0894,15.046,15.2185
2009-06-08,15.2356,ABT,15.24,15.1724,15.0989,15.0665,15.21
2009-06-09,15.1682,ABT,15.2102,15.1685,15.0945,15.0796,15.1714
2009-06-10,15.0962,ABT,15.1694,15.1642,15.0838,15.0854,15.1254
2009-06-11,15.0926,ABT,15.1554,15.1604,15.0881,15.0904,15.1258
2009-06-12,15.1906,ABT,15.1947,15.1585,15.1212,15.104,15.199
2009-06-15,15.2005,ABT,15.1892,15.1569,15.1275,15.1154,15.1954
2009-06-16,15.2105,ABT,15.1853,15.1557,15.1332,15.1251,15.1926
2009-06-17,15.3465,ABT,15.2574,15.1569,15.1787,15.1459,15.2916
2009-06-18,15.6393,ABT,15.4319,15.163,15.2788,15.1918,15.5135
2009-06-19,15.853,ABT,15.5836,15.1731,15.3661,15.252,15.6731
2009-06-22,15.9193,ABT,15.6655,15.1852,15.4151,15.3104,15.719
2009-06-23,15.9578,ABT,15.7444,15.1992,15.4644,15.3673,15.7661
2009-06-24,15.9627,ABT,15.8159,15.2149,15.5131,15.423,15.8125
2009-06-25,16.0601,ABT,15.9334,15.2337,15.5919,15.4869,15.9347
2009-06-26,16.0825,ABT,15.9931,15.2542,15.6428,15.5481,15.9763
2009-06-29,16.1524,ABT,16.0645,15.2766,15.7019,15.6097,16.0406
2009-06-30,16.1089,ABT,16.0687,15.2992,15.7286,15.6613,16.0226
2009-07-01,16.0162,ABT,16.034,15.3212,15.739,15.7005,15.9751
2009-07-02,15.8408,ABT,15.9454,15.3412,15.7212,15.7219,15.8717
